City,2019estimate,2016 population density,lantitude,longitude
New York,8336817,28317.0,40.6635,73.9387
Los Angeles,3979576,8484.0,34.0194,118.4108
Chicago,2693976,11900.0,41.8376,87.6818
Houston,2320268,3613.0,29.7866,95.3909
Phoenix,1680992,3120.0,33.5722,112.0901
Philadelphia,1584064,11683.0,40.0094,75.1333
San Antonio,1547253,3238.0,29.4724,98.5251
San Diego,1423851,4325.0,32.8153,117.135
Dallas,1343573,3866.0,32.7933,96.7665
San Jose,1021795,5777.0,37.2967,121.8189
Austin,978908,3031.0,30.3039,97.7544
Jacksonville,911507,1178.0,30.3369,81.6616
Fort Worth,909585,2491.0,32.7815,97.3467
Columbus,898553,3936.0,39.9852,82.9848
Charlotte,885708,2757.0,35.2078,80.831
San Francisco,881549,18569.0,37.7272,123.0322
Indianapolis,876384,2366.0,39.7767,86.1459
Seattle,753675,8405.0,47.6205,122.3509
Denver,727211,4521.0,39.7619,104.8811
Washington,705749,11148.0,38.9041,77.0172
Boston,692600,13938.0,42.332,71.0202
El Paso,681728,2660.0,31.8484,106.427
Nashville,670820,1388.0,36.1718,86.785
Detroit,670031,4847.0,42.383,83.1022
Oklahoma City,655057,1053.0,35.4671,97.5137
Portland,654741,4793.0,45.537,122.65
Las Vegas,651319,4709.0,36.2292,115.2601
Memphis,651073,2056.0,35.1028,89.9774
Louisville,617638,2339.0,38.1654,85.6474
Baltimore,593490,7598.0,39.3,76.6105
Milwaukee,590157,6186.0,43.0633,87.9667
Albuquerque,560513,2972.0,35.1056,106.6474
Tucson,548073,2299.0,32.1531,110.8706
Fresno,531576,4563.0,36.7836,119.7934
Mesa,518012,3514.0,33.4019,111.7174
Sacramento,513624,5059.0,38.5666,121.4686
Atlanta,506811,3539.0,33.7629,84.4227
Kansas City,495327,1528.0,39.1251,94.551
Colorado Springs,478221,2378.0,38.8673,104.7607
Omaha,478192,3356.0,41.2644,96.0451
Raleigh,474069,3163.0,35.8306,78.6418
Miami,467963,12599.0,25.7752,80.2086
Long Beach,462628,9347.0,33.8092,118.1553
Virginia Beach,449974,1850.0,36.78,76.0252
Oakland,433031,7514.0,37.7698,122.2257
Minneapolis,429606,7660.0,44.9633,93.2683
Tulsa,401190,2048.0,36.1279,95.9023
Tampa,399700,3326.0,27.9701,82.4797
Arlington,398854,4100.0,32.7007,97.1247
New Orleans,390144,2311.0,30.0534,89.9345
Wichita,389938,2431.0,37.6907,97.3459
Bakersfield,384145,2529.0,35.3212,119.0183
Cleveland,381009,4965.0,41.4785,81.6794
Aurora,379289,2356.0,39.688,104.6897
Anaheim,350365,7021.0,33.8555,117.7601
Honolulu,345064,5815.0,21.3243,157.8476
Santa Ana,332318,12333.0,33.7363,117.883
Riverside,331360,3999.0,33.9381,117.3932
Corpus Christi,326586,1866.0,27.7543,97.1734
Lexington,323152,1123.0,38.0407,84.4583
Henderson,320189,2798.0,36.0097,115.0357
Stockton,312697,4977.0,37.9763,121.3133
Saint Paul,308096,5815.0,44.9489,93.1041
Cincinnati,303940,3860.0,39.1402,84.5058
St. Louis,300576,5023.0,38.6357,90.2446
Pittsburgh,300286,5481.0,40.4398,79.9766
Greensboro,296710,2237.0,36.0951,79.827
Lincoln,289102,3044.0,40.8105,96.6803
Anchorage,288000,175.0,61.1743,149.2843
Plano,287677,3990.0,33.0508,96.7479
Orlando,287442,2635.0,28.4166,81.2736
Irvine,287401,4057.0,33.6784,117.7713
Newark,282011,11691.0,40.7242,74.1726
Durham,278993,2395.0,35.9811,78.9029
Chula Vista,274492,5387.0,32.6277,117.0152
Toledo,272779,3451.0,41.6641,83.5819
Fort Wayne,270402,2391.0,41.0882,85.1439
St. Petersburg,265351,4223.0,27.762,82.6441
Laredo,262491,2544.0,27.5604,99.4892
Jersey City,262075,17848.0,40.7114,74.0648
Chandler,261165,3813.0,33.2829,111.8549
Madison,259680,3280.0,43.0878,89.4299
Lubbock,258862,2027.0,33.5656,101.8867
Scottsdale,258069,1341.0,33.6843,111.8611
Reno,255601,2286.0,39.5491,119.8499
Buffalo,255284,6359.0,42.8925,78.8597
Gilbert,254114,3487.0,33.3103,111.7431
Glendale,252381,4161.0,33.5331,112.1899
North Las Vegas,251974,2436.0,36.2857,115.0939
Winston–Salem,247945,1828.0,36.1027,80.261
Chesapeake,244835,703.0,36.6794,76.3018
Norfolk,242742,4599.0,36.923,76.2446
Fremont,241110,3008.0,37.4945,121.9412
Garland,239928,4122.0,32.9098,96.6303
Irving,239798,3557.0,32.8577,96.97
Hialeah,233339,10995.0,25.8699,80.3029
Richmond,230436,3732.0,37.5314,77.476
Boise,228959,2718.0,43.6002,116.2317
Spokane,222081,3144.0,47.6669,117.4333
Baton Rouge,220236,2651.0,30.4422,91.1309
Tacoma,217827,4251.0,47.2522,122.4598
San Bernardino,215784,3516.0,34.1416,117.2936
Modesto,215196,4934.0,37.6375,121.003
Fontana,214547,4876.0,34.109,117.4629
Des Moines,214237,2424.0,41.5726,93.6102
Moreno Valley,213055,4006.0,33.9233,117.2057
Santa Clarita,212979,3446.0,34.403,118.5042
Fayetteville,211657,1386.0,35.0828,78.9735
Birmingham,209403,1452.0,33.5274,86.799
Oxnard,208881,7729.0,34.2023,119.2046
Rochester,205695,5835.0,43.1699,77.6169
Port St. Lucie,201846,1557.0,27.2806,80.3883
Grand Rapids,201013,4424.0,42.9612,85.6556
Huntsville,200574,905.0,34.699,86.673
Salt Lake City,200567,1742.0,40.7769,111.931
Frisco,200490,2417.0,33.1554,96.8226
Yonkers,200370,11156.0,40.9459,73.8674
Amarillo,199371,1968.0,35.1999,101.8302
Glendale,199303,6606.0,34.1814,118.2458
Huntington Beach,199223,7459.0,33.6906,118.0093
McKinney,199177,2735.0,33.1985,96.668
Montgomery,198525,1252.0,32.3472,86.2661
Augusta,197888,652.0,33.3655,82.0734
Aurora,197757,4479.0,41.7635,88.2901
Akron,197597,3188.0,41.0805,81.5214
Little Rock,197312,1673.0,34.7254,92.3586
Tempe,195805,4562.0,33.3884,111.9318
Columbus,195769,913.0,32.5102,84.8749
Overland Park,195494,2516.0,38.889,94.6906
Grand Prairie,194543,2637.0,32.6869,97.0211
Tallahassee,194500,1901.0,30.4551,84.2534
