City,1st Most Common Res,2nd Most Common Res,3rd Most Common Res,4th Most Common Res,5th Most Common Res,Cluster Labels,2019estimate,2016 population density,lantitude,longitude
Abilene,Chinese Restaurant,Mexican Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,3,0.014804211247530083,0.03450358894179518,32.4545,99.7381
Akron,Italian Restaurant,American Restaurant,Thai Restaurant,Pizza Place,Vietnamese Restaurant,0,0.023701731728068397,0.10706417454338711,41.0805,81.5214
Albuquerque,Mexican Restaurant,American Restaurant,Chinese Restaurant,Pizza Place,Italian Restaurant,1,0.06723345372700397,0.09938881387250373,35.1056,106.6474
Alexandria,Latin American Restaurant,American Restaurant,Sushi Restaurant,Mexican Restaurant,Chinese Restaurant,4,0.01912336566821606,0.3628739961623197,38.8201,77.0841
Allen,Mexican Restaurant,Italian Restaurant,Sushi Restaurant,Seafood Restaurant,Korean Restaurant,1,0.012669463657412654,0.12579063321725534,33.0997,96.6631
Allentown,Chinese Restaurant,Caribbean Restaurant,Pizza Place,Latin American Restaurant,Bar,4,0.01456695043204139,0.23832705564636486,40.5936,75.4784
Amarillo,Mexican Restaurant,Thai Restaurant,Vietnamese Restaurant,Italian Restaurant,Breakfast Spot,2,0.023914522772900015,0.06371260038376804,35.1999,101.8302
Anaheim,American Restaurant,Mexican Restaurant,Thai Restaurant,Japanese Restaurant,Italian Restaurant,0,0.04202623135424467,0.24326629237438704,33.8555,117.7601
Ann Arbor,Sushi Restaurant,Mexican Restaurant,Japanese Restaurant,Chinese Restaurant,Bar,4,0.014391583742332355,0.14650700021320445,42.2761,83.7309
Antioch,Chinese Restaurant,Vietnamese Restaurant,Italian Restaurant,Mexican Restaurant,Thai Restaurant,3,0.013374648861789818,0.12781607561651623,37.9791,121.7962
Arlington,Mexican Restaurant,Vietnamese Restaurant,Chinese Restaurant,Japanese Restaurant,Italian Restaurant,1,0.04784247992969019,0.13947125293156137,32.7007,97.1247
Arvada,Mexican Restaurant,Pizza Place,Japanese Restaurant,Italian Restaurant,Vietnamese Restaurant,2,0.014546558956493828,0.10191173335228484,39.8337,105.1503
Athens,Mexican Restaurant,Chinese Restaurant,Pizza Place,Japanese Restaurant,Breakfast Spot,1,0.015223196095104403,0.031447658304313834,33.9496,83.3701
Atlanta,American Restaurant,Caribbean Restaurant,Mexican Restaurant,Chinese Restaurant,Japanese Restaurant,0,0.06079190655138526,0.1195366356335726,33.7629,84.4227
Augusta,Chinese Restaurant,Caribbean Restaurant,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,3,0.023736637136211578,0.01694975481486746,33.3655,82.0734
Aurora,Mexican Restaurant,Chinese Restaurant,Seafood Restaurant,American Restaurant,Vietnamese Restaurant,2,0.04549566099387812,0.0774998223296141,39.688,104.6897
Aurora,Mexican Restaurant,Chinese Restaurant,Seafood Restaurant,American Restaurant,Vietnamese Restaurant,2,0.02372092370505434,0.15293866818278729,41.7635,88.2901
Aurora,Mexican Restaurant,Chinese Restaurant,Seafood Restaurant,American Restaurant,Vietnamese Restaurant,2,0.04549566099387812,0.0774998223296141,39.688,104.6897
Aurora,Mexican Restaurant,Chinese Restaurant,Seafood Restaurant,American Restaurant,Vietnamese Restaurant,2,0.02372092370505434,0.15293866818278729,41.7635,88.2901
Austin,Mexican Restaurant,Italian Restaurant,Vietnamese Restaurant,Japanese Restaurant,Indian Restaurant,2,0.11741987379595833,0.10148532442612465,30.3039,97.7544
Bakersfield,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,2,0.04607813749540142,0.0836472176817568,35.3212,119.0183
Baltimore,American Restaurant,Indian Restaurant,Italian Restaurant,Caribbean Restaurant,Latin American Restaurant,0,0.07118904013366252,0.26376945490725606,39.3,76.6105
Baton Rouge,Italian Restaurant,Seafood Restaurant,Mexican Restaurant,Chinese Restaurant,Thai Restaurant,1,0.02641727652172286,0.08798237509771871,30.4422,91.1309
Beaumont,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant,Breakfast Spot,Thai Restaurant,1,0.014013141946140836,0.04498614170989979,30.0849,94.1453
Bellevue,Chinese Restaurant,Thai Restaurant,Japanese Restaurant,Seafood Restaurant,Mexican Restaurant,4,0.017772250488405826,0.14377087627034327,47.5979,122.1565
Bend,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant,Sushi Restaurant,Japanese Restaurant,1,0.012045484505657254,0.1015919266576647,44.05,121.3
Berkeley,Japanese Restaurant,Thai Restaurant,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant,4,0.01455747439340458,0.4040935256911378,37.867,122.2991
Billings,American Restaurant,Mexican Restaurant,Korean Restaurant,Italian Restaurant,Chinese Restaurant,0,0.013143745388677717,0.08350508137303675,45.7885,108.5499
Birmingham,American Restaurant,Seafood Restaurant,Mexican Restaurant,Italian Restaurant,Indian Restaurant,0,0.025117859729918503,0.04537701655887997,33.5274,86.79899999999999
Boise,Chinese Restaurant,Breakfast Spot,Mexican Restaurant,American Restaurant,Vietnamese Restaurant,1,0.02746359911702512,0.09036315826877976,43.6002,116.2317
