City,lantitude,longitude,Venue,Venue Category
New York,40.6635,-73.9387,Wing Hing Restaurant,Chinese Restaurant
New York,40.6635,-73.9387,New Garden Restaurant,Chinese Restaurant
New York,40.6635,-73.9387,Vee's Jamaican Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,New Combination Restaurant,African Restaurant
New York,40.6635,-73.9387,C & J Jamaican Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,China Hao Restaurant,Chinese Restaurant
New York,40.6635,-73.9387,Golden Taste Famous Caribbean Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,Peaches Restaurant,Southern / Soul Food Restaurant
New York,40.6635,-73.9387,PJ Restaurant & Bakery,Caribbean Restaurant
New York,40.6635,-73.9387,Vee's Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,P&S Bakery & Restaurant,Bakery
New York,40.6635,-73.9387,Linda's Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,Exquisite Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,Ricky's Eat-Well Jamaican Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,Siu's Restaurant,Chinese Restaurant
New York,40.6635,-73.9387,Topaze West Indian & American Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,MangoSeed Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,T&G Restaurant Spot,Restaurant
New York,40.6635,-73.9387,Bell's Jamaican Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,New Mon Hing Chinese Restaurant,Food
New York,40.6635,-73.9387,Udom Thai Restaurant & Bar,Thai Restaurant
New York,40.6635,-73.9387,Kreyol Flavor Bakery & Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,New Peking Chinese Restaurant,Chinese Restaurant
New York,40.6635,-73.9387,Lexotique Restaurant & Fritay,Caribbean Restaurant
New York,40.6635,-73.9387,La estrellita restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,New Peking Chinese Restaurant,Chinese Restaurant
New York,40.6635,-73.9387,Song Thai Restaurant & Bar,Thai Restaurant
New York,40.6635,-73.9387,Lee Chinese Restaurant,Asian Restaurant
New York,40.6635,-73.9387,Bene Restaurant & Pizzeria,Pizza Place
New York,40.6635,-73.9387,Shanghai Restaurant,Chinese Restaurant
New York,40.6635,-73.9387,Tom's Restaurant,Diner
New York,40.6635,-73.9387,JJ's Jamaican Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,Buka Nigerian Restaurant,African Restaurant
New York,40.6635,-73.9387,Golden Krust Caribbean Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,King's Food Chinese Restaurant,Chinese Restaurant
New York,40.6635,-73.9387,West's Caribbean International Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,Yummy Yummy Chinese Restaurant,Restaurant
New York,40.6635,-73.9387,Katie O's Restaurant,Southern / Soul Food Restaurant
New York,40.6635,-73.9387,Green Lake Chinese Restaurant,Chinese Restaurant
New York,40.6635,-73.9387,C & J Jamaican Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,MIKEROM Deli Restaurant (J&Z),Breakfast Spot
New York,40.6635,-73.9387,Golden Krust Caribbean Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,Jazzy West Indian and American Restaurant,Caribbean Restaurant
New York,40.6635,-73.9387,Hopeys Pizza and Restaurant,Pizza Place
New York,40.6635,-73.9387,Ho May Restaurant,Chinese Restaurant
New York,40.6635,-73.9387,Trinidad Golden Palace Restaurant,Bakery
New York,40.6635,-73.9387,Diamond Krust Restaurant & Bakery,Caribbean Restaurant
New York,40.6635,-73.9387,La Déesee Restaurant,Caribbean Restaurant
Los Angeles,34.0194,-118.4108,Mayura Indian Restaurant,Indian Restaurant
Los Angeles,34.0194,-118.4108,Thai Original BBQ Restaurant,Thai Restaurant
Los Angeles,34.0194,-118.4108,El Nopal Oaxacan Restaurant and Mezcaleria,Cocktail Bar
Los Angeles,34.0194,-118.4108,Coppelia's Bakery & Restaurant / Larco Mar Peruvian Rotisserie,Bakery
Los Angeles,34.0194,-118.4108,The Vegan Indian Restaurant,Vegetarian / Vegan Restaurant
Los Angeles,34.0194,-118.4108,Lonzo's Restaurant,Bakery
Los Angeles,34.0194,-118.4108,Bamboo Restaurant,Latin American Restaurant
Los Angeles,34.0194,-118.4108,Tree House Thai Restaurant,Thai Restaurant
Los Angeles,34.0194,-118.4108,The Ayalas' Salvadorean Restaurant,Food
Los Angeles,34.0194,-118.4108,Restaurant El Agave,Mexican Restaurant
Los Angeles,34.0194,-118.4108,Planet China Restaurant,Food
Los Angeles,34.0194,-118.4108,Johnny Foxx's Restaurant Pub and Nightclub,Food
